Time (h),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L),V_mean (L),V_std (L),V_lower95 (L),V_upper95 (L)
0.0,5.020382692378401,0.4347870256827272,4.354439674232825,5.989108625995217,0.4719550809071543,119.97601680785314,21.24324871124037,86.57385155279572,154.65377540333964,21.691539206136028,0.0,0.0,0.0,0.0,0.0,26.53248521280313,2.7506834997008984,22.208321290677905,31.8194771749794,2.916775029336165,7.0000000000000036,4.336808689942018e-15,6.999999999999999,6.999999999999999,0.2559693861843302,10000.0,0.0,10000.0,10000.0
0.15030060120240482,5.207803618101357,0.4505920695089674,4.516974060504427,6.213135277162299,0.4891812931195515,120.08434375678095,21.200664147435504,86.74692613313451,154.70693464287737,21.65063948704577,0.14223441528276587,0.012088968998805178,0.1233498568765589,0.16999029925974182,0.01316033993635956,26.50457415688203,2.7377256348553005,22.20078041972316,31.766660263007804,2.9042174674689676,5.76786869468972,0.018106568974495446,5.727840329852835,5.796082248766519,0.21168975352751504,10018.036072144288,1.337915858925647e-11,10018.036072144261,10018.036072144305
0.30060120240480964,5.396161824160073,0.4668605824911289,4.67970947029066,6.439170180612237,0.5068477832375209,120.19058366228703,21.158101292149922,86.91772805428792,154.75840022000708,21.609752736293206,0.28523105443955254,0.024512285185674325,0.2469295585970058,0.34151761972876177,0.02663903659004368,26.476705627939815,2.7248376436614508,22.193172232102686,31.71402017970002,2.891730159582522,5.759587654454808,0.01876375716409351,5.7179562831279265,5.788702229006631,0.21144535722971314,10036.07214428858,1.3648482477804696e-11,10036.072144288555,10036.072144288599
0.45090180360721444,5.59133870072869,0.48363880053186986,4.848425216425136,6.67321302251587,0.5250808380529904,120.28901992519596,21.115515921339924,87.0806022501712,154.80242489324291,21.568792932082573,0.4331415036381604,0.03730574771244247,0.37481774190652695,0.5188182349227939,0.04052879869172815,26.44887956530956,2.712019082278359,22.185497364865267,31.661556011301915,2.8793126610051565,5.751051852902648,0.01949709607550322,5.707721963045849,5.781323237869324,0.2112008971019153,10054.108216432867,1.401330358695225e-11,10054.108216432842,10054.10821643289
0.6012024048096193,5.79353322757851,0.5009272891228909,5.023316123672095,6.91546281970677,0.5438838195809805,120.37945790340606,21.07290416577438,87.23536222050025,154.8388067076116,21.52775440506758,0.5861106109002896,0.050470058153618436,0.5071557687138453,0.7020378021891165,0.05483221614095354,26.421095908268587,2.6992695102237754,22.177756449748706,31.609266850457136,2.866964530410981,5.742209571959434,0.020252541564870812,5.6971299144244725,5.773674471278198,0.21095013059769047,10072.144288577158,1.452916006944423e-11,10072.14428857713,10072.144288577178
0.7515030060120241,6.002929289193754,0.5187250779156315,5.204563652078503,7.166099435402604,0.563258469584777,120.46171741609207,21.030262514672035,87.38183575067701,154.86735735102937,21.48663193916181,0.7442727300134898,0.0640048359800427,0.6440757256424483,0.8913086197552822,0.06955086032616664,26.393354596044947,2.686588490370264,22.169950113160144,31.557151796199502,2.854685329814417,5.733053464861621,0.021029925290725955,5.686173206355887,5.765748397948577,0.21069304047591028,10090.180360721446,1.5076777916039354e-11,10090.180360721419,10090.180360721468
0.9018036072144289,6.21970082822238,0.5370295327467012,5.3923417346354015,7.42528873344915,0.5832048682333524,120.53562774670559,20.98758784355456,87.51986004229082,154.88789716491965,21.445420763181755,0.9077553357783295,0.07790852530194527,0.785704523851451,1.0867532390147998,0.08468515767538469,26.36565556781121,2.6739755889023322,22.162078976243883,31.50520995388407,2.8424746245278847,5.723576450254525,0.021829026021360404,5.674845343302708,5.757537799309604,0.21042962097579854,10108.216432865735,1.546140993013978e-11,10108.216432865707,10108.216432865758
1.0521042084168337,6.444013798786111,0.555836329502739,5.586818787324273,7.693184475707371,0.603721441410069,120.60102575337473,20.944877425244684,87.64927979489605,154.90025325625913,21.404116548775978,1.0766803889229233,0.09217837559676924,0.9321653059127087,1.2884857869735715,0.10023438044872768,26.337998762692354,2.6614303752911233,22.154143654930326,31.45344043513114,2.8303319831362344,5.713771774893224,0.022649582337514292,5.663140259723245,5.749035651382756,0.21015988039177652,10126.252505010027,1.6300012661100373e-11,10126.252505009994,10126.252505010047
1.2024048096192386,6.676026857467868,0.5751393937894469,5.788158506868891,7.9699288806349715,0.624804919014541,120.65775520512379,20.90212894818178,87.76994652660764,154.90425882758024,21.362715424531565,1.251164814000406,0.10681039853981752,1.0835780008241556,1.4966123477647866,0.11619661358033094,26.310384119765757,2.6489524222632164,22.146144759984548,31.401842357770846,2.8182569774655466,5.70363292704033,0.02349124824417533,5.651052339387744,5.740235111483047,0.20988383205585948,10144.288577154311,1.5997802396701453e-11,10144.288577154284,10144.288577154335
1.3527054108216434,6.915891440192347,0.5949308350630204,5.996520066939818,8.255652553279246,0.6464502799229829,120.70566671464182,20.85934054065778,87.88171847290981,154.89975310827825,21.321214000290066,1.4313205457398186,0.12179932052613014,1.2400594563990273,1.7112309023509484,0.1325687141351189,26.282811578063132,2.6365413057712757,22.138082897054485,31.3504148457884,2.806249182553721,5.693153699237145,0.024353605010939968,5.638576444129577,5.731129522513152,0.20960149608539316,10162.324649298602,1.6300012661100373e-11,10162.324649298573,10162.324649298624
